Rank;Player;Rating
1;Asmir Begovi?;8
2;Stefan Ortega;7.87
3;Kevin De Bruyne;7.78
4;Kieran Trippier;7.61
5;Bruno Fernandes;7.56
6;Harry Kane;7.44
7;Martin Dúbravka;7.4
8;Daniel Bentley;7.4
9;Erling Haaland;7.36
10;Martin Ødegaard;7.35
11;Jack Grealish;7.34
12;James Maddison;7.33
13;Rodri;7.32
14;Trent Alexander-Arnold;7.32
15;Bukayo Saka;7.31
16;Solly March;7.3
17;Thiago Silva;7.26
18;N'Golo Kanté;7.26
19;Pascal Groß;7.26
20;Ivan Toney;7.25
21;Rúben Neves;7.23
22;James Ward-Prowse;7.23
23;Riyad Mahrez;7.22
24;Phil Foden;7.22
25;Casemiro;7.22
26;Alexis Mac Allister;7.21
27;Rodrigo Bentancur;7.21
28;Yerry Mina;7.21
29;James Tarkowski;7.2
30;Declan Rice;7.2
31;Reece James;7.19
32;David Raya;7.19
33;Bernd Leno;7.18
34;Enzo Fernández;7.18
35;Gabriel Martinelli;7.17
36;Bruno Guimarães;7.17
37;Ethan Pinnock;7.16
38;Mohamed Salah;7.16
39;?lkay Gündo?an;7.15
40;Fabian Schär;7.13
41;Michael Olise;7.13
42;Lisandro Martínez;7.12
43;Eberechi Eze;7.12
44;Pierre-Emile Højbjerg;7.11
45;Thomas Partey;7.11
46;Benoît Badiashile;7.11
47;Roberto Firmino;7.1
48;Virgil van Dijk;7.1
49;Douglas Luiz;7.1
50;Luke Shaw;7.09
51;Ben Mee;7.09
52;Alisson;7.09
53;Leandro Trossard;7.09
54;Kenny Tete;7.09
55;Bryan Mbeumo;7.09
56;Kepa Arrizabalaga;7.08
57;Moisés Caicedo;7.08
58;Aleksandar Mitrovi?;7.08
59;Heung-min Son;7.08
60;Willian;7.08
61;Kalidou Koulibaly;7.07
62;Gabriel Jesus;7.07
63;Reiss Nelson;7.06
64;Thiago Alcântara;7.06
65;Dwight McNeil;7.05
66;Mason Mount;7.05
67;Mathias Jensen;7.05
68;Diogo Dalot;7.05
69;Cody Gakpo;7.04
70;Granit Xhaka;7.04
71;Youri Tielemans;7.03
72;Mohammed Salisu;7.03
73;Joelinton;7.02
74;John Stones;7.02
75;Pedro Porro;7.01
76;Allan Saint-Maximin;7.01
77;Alexander Isak;7.01
78;Gabriel Magalhães;7.01
79;Lewis Hall;7.01
80;Callum Wilson;7.01
81;Nathan Aké;7
82;Miguel Almirón;7
83;João Palhinha;7
84;Darko Gyabi;7
85;Shea Charles;7
86;Neto;7
87;Sven Botman;6.99
88;Emiliano Martínez;6.99
89;Morgan Gibbs-White;6.99
90;Felipe;6.98
91;John McGinn;6.98
92;Aaron Wan-Bissaka;6.98
93;Rúben Dias;6.97
94;Tyler Adams;6.97
95;Sam Johnstone;6.97
96;Cheick Doucouré;6.96
97;Cristian Romero;6.96
98;Alex Iwobi;6.96
99;Joachim Andersen;6.96
100;William Saliba;6.96
101;Vicente Guaita;6.95
102;Harry Maguire;6.95
103;Rodrigo;6.95
104;Lucas Paquetá;6.95
105;Christian Eriksen;6.95
106;Christian Nørgaard;6.95
107;Andrew Robertson;6.94
108;Aymeric Laporte;6.94
109;Wout Faes;6.94
110;Danilo;6.94
