Team,Player,SofascoreScore
Manchester City,Rodri,8.01
Burnley,Arijanet Muric,8.0
Manchester City,Kevin De Bruyne,7.93
Manchester City,Phil Foden,7.79
Manchester United,Bruno Fernandes,7.75
Crystal Palace,Michael Olise,7.74
Arsenal,Bukayo Saka,7.72
Chelsea,Cole Palmer,7.7
Arsenal,Martin Ødegaard,7.67
Tottenham Hotspur,James Maddison,7.59
Liverpool,Mohamed Salah,7.58
Crystal Palace,Eberechi Eze,7.58
Brighton & Hove Albion,Pascal Groß,7.55
Tottenham Hotspur,Son Heung-min,7.55
Manchester City,Bernardo Silva,7.53
Newcastle United,Bruno Guimarães,7.49
Liverpool,Andrew Robertson,7.43
Arsenal,Declan Rice,7.43
Manchester City,Jeremy Doku,7.42
Newcastle United,Anthony Gordon,7.41
Manchester City,Joško Gvardiol,7.4
Brentford,Thomas Strakosha,7.4
Liverpool,Virgil van Dijk,7.38
Brighton & Hove Albion,Solly March,7.37
Manchester City,Erling Haaland,7.36
West Ham United,Alphonse Areola,7.36
Manchester City,Julián Álvarez,7.36
Tottenham Hotspur,Pedro Porro,7.34
Aston Villa,Ollie Watkins,7.32
Liverpool,Conor Bradley,7.32
Everton,James Tarkowski,7.31
Chelsea,Conor Gallagher,7.31
Newcastle United,Kieran Trippier,7.31
Liverpool,Trent Alexander-Arnold,7.29
West Ham United,James Ward-Prowse,7.27
Brentford,Bryan Mbeumo,7.27
Aston Villa,Douglas Luiz,7.26
Liverpool,Diogo Jota,7.26
Tottenham Hotspur,Manor Solomon,7.26
Nottingham Forest,Morgan Gibbs-White,7.26
Wolverhampton,Matheus Cunha,7.26
Arsenal,Ben White,7.26
Tottenham Hotspur,Cristian Romero,7.25
Everton,Dwight McNeil,7.24
Liverpool,Alexis Mac Allister,7.24
Manchester City,Manuel Akanji,7.24
Manchester City,Jack Grealish,7.24
Arsenal,Gabriel Magalhães,7.23
Arsenal,Kai Havertz,7.23
Manchester United,André Onana,7.21
Brighton & Hove Albion,João Pedro,7.21
Everton,Jordan Pickford,7.21
Manchester City,Rúben Dias,7.21
West Ham United,Lucas Paquetá,7.2
Newcastle United,Jacob Murphy,7.2
Chelsea,Enzo Fernández,7.2
Newcastle United,Martin Dúbravka,7.19
Wolverhampton,Pedro Neto,7.18
Liverpool,Luis Díaz,7.18
Arsenal,Oleksandr Zinchenko,7.18
Bournemouth,Mark Travers,7.18
Brighton & Hove Albion,Kaoru Mitoma,7.17
Manchester United,Casemiro,7.17
Newcastle United,Alexander Isak,7.17
Luton Town,Ross Barkley,7.17
Arsenal,Gabriel Jesus,7.16
Brighton & Hove Albion,Lewis Dunk,7.16
Crystal Palace,Daniel Muñoz,7.15
Liverpool,Dominik Szoboszlai,7.15
Manchester City,Kyle Walker,7.15
Fulham,João Palhinha,7.14
West Ham United,Jarrod Bowen,7.14
Aston Villa,Leon Bailey,7.13
Wolverhampton,Craig Dawson,7.13
Manchester United,Harry Maguire,7.13
Brighton & Hove Albion,Jan Paul van Hecke,7.13
Liverpool,Harvey Elliott,7.13
Fulham,Willian,7.13
Fulham,Rodrigo Muniz,7.13
Chelsea,Moisés Caicedo,7.13
Manchester City,Oscar Bobb,7.12
Brighton & Hove Albion,Bart Verbruggen,7.12
Wolverhampton,José Sá,7.11
Liverpool,Cody Gakpo,7.11
Manchester United,Diogo Dalot,7.11
Burnley,Josh Cullen,7.11
Chelsea,Robert Sánchez,7.11
Luton Town,Albert Sambi Lokonga,7.11
Arsenal,Gabriel Martinelli,7.11
Aston Villa,John McGinn,7.1
Bournemouth,Neto,7.1
Aston Villa,Emiliano Martínez,7.1
Tottenham Hotspur,Dejan Kulusevski,7.1
West Ham United,Mohammed Kudus,7.1
Manchester City,Nathan Aké,7.1
Fulham,Aleksandar Mitrović,7.1
Aston Villa,Robin Olsen,7.1
Fulham,Bernd Leno,7.09
Everton,James Garner,7.09
Brentford,Mark Flekken,7.09
Brentford,Yoane Wissa,7.09
Crystal Palace,Adam Wharton,7.09
Wolverhampton,Pablo Sarabia,7.08
Chelsea,Noni Madueke,7.08
Bournemouth,Ryan Christie,7.08
Nottingham Forest,Callum Hudson-Odoi,7.08
Tottenham Hotspur,Richarlison,7.08
Liverpool,Ibrahima Konaté,7.07
Chelsea,Thiago Silva,7.07
Everton,Jarrad Branthwaite,7.07
Everton,Amadou Onana,7.07
Arsenal,Leandro Trossard,7.06
Fulham,Andreas Pereira,7.06
Fulham,Alex Iwobi,7.06
Crystal Palace,Jefferson Lerma,7.06
Manchester United,Alejandro Garnacho,7.05
Tottenham Hotspur,Timo Werner,7.05
Crystal Palace,Cheick Doucouré,7.05
Brentford,Ethan Pinnock,7.04
Everton,Idrissa Gana Gueye,7.04
Sheffield United,Ben Brereton,7.04
Chelsea,Malo Gusto,7.04
Bournemouth,Dominic Solanke,7.04
Arsenal,William Saliba,7.04
Brentford,Christian Nørgaard,7.04
Bournemouth,Luis Sinisterra,7.04
Wolverhampton,Mario Lemina,7.04
Brighton & Hove Albion,Pervis Estupiñán,7.04
Tottenham Hotspur,Guglielmo Vicario,7.04
Luton Town,Carlton Morris,7.03
West Ham United,Łukasz Fabiański,7.03
Bournemouth,Marcus Tavernier,7.03
Brighton & Hove Albion,Simon Adingra,7.03
Tottenham Hotspur,Giovani Lo Celso,7.03
Tottenham Hotspur,Yves Bissouma,7.03
Luton Town,Alfie Doughty,7.03
Luton Town,Chiedozie Ogbene,7.03
Crystal Palace,Jean-Philippe Mateta,7.02
Liverpool,Darwin Núñez,7.02
Fulham,Tosin Adarabioyo,7.02
Nottingham Forest,Willy Boly,7.02
Tottenham Hotspur,Ivan Perišić,7.02
Crystal Palace,Joachim Andersen,7.02
Liverpool,Alisson,7.02
Tottenham Hotspur,Ben Davies,7.02
Manchester City,Mateo Kovačić,7.02
Arsenal,Thomas Partey,7.02
Newcastle United,Fabian Schär,7.01
Liverpool,Joël Matip,7.01
Chelsea,Nicolas Jackson,7.01
Liverpool,Jarell Quansah,7.01
Crystal Palace,Jordan Ayew,7.0
Chelsea,Levi Colwill,7.0
Liverpool,Kostas Tsimikas,7.0
Brentford,Rico Henry,7.0
Chelsea,Joshua Acheampong,7.0
Luton Town,James Shea,7.0
Tottenham Hotspur,Davinson Sánchez,7.0
Manchester City,Aymeric Laporte,7.0
Manchester City,Ederson,7.0
Tottenham Hotspur,Micky van de Ven,6.99
Newcastle United,Harvey Barnes,6.99
Chelsea,Marc Cucurella,6.99
Newcastle United,Joelinton,6.99
Newcastle United,Nick Pope,6.99
Burnley,James Trafford,6.99
Brighton & Hove Albion,Julio Enciso,6.98
Bournemouth,Marcos Senesi,6.98
Bournemouth,Lewis Cook,6.98
Manchester City,Rico Lewis,6.98
Sheffield United,Wes Foderingham,6.97
Fulham,Harry Wilson,6.97
Nottingham Forest,Matt Turner,6.97
Fulham,Antonee Robinson,6.97
Tottenham Hotspur,Pape Matar Sarr,6.97
Wolverhampton,Max Kilman,6.97
Brentford,Ivan Toney,6.97
Fulham,Tom Cairney,6.97
Aston Villa,Boubacar Kamara,6.97
Brentford,Mathias Jensen,6.97
Everton,Vitaliy Mykolenko,6.96
Sheffield United,Oliver McBurnie,6.96
Liverpool,Caoimhín Kelleher,6.96
Aston Villa,Moussa Diaby,6.96
Wolverhampton,Hwang Hee-chan,6.96
Chelsea,Raheem Sterling,6.96
Arsenal,Jorginho,6.95
Manchester City,Stefan Ortega,6.95
Newcastle United,Dan Burn,6.95
Manchester United,Aaron Wan-Bissaka,6.95
Arsenal,Jakub Kiwior,6.95
Brighton & Hove Albion,Billy Gilmour,6.95
Manchester United,Luke Shaw,6.95
West Ham United,Tomáš Souček,6.95
Burnley,Sander Berge,6.95
Burnley,Josh Brownhill,6.95
Brentford,Vitaly Janelt,6.94
Newcastle United,Miguel Almirón,6.94
Manchester United,Amadou Diallo,6.94
Aston Villa,Ezri Konsa,6.94
Manchester United,Kobbie Mainoo,6.94
Brighton & Hove Albion,Jack Hinshelwood,6.94
Tottenham Hotspur,Brennan Johnson,6.94
Nottingham Forest,Nicolás Domínguez,6.94
Manchester City,John Stones,6.94
Nottingham Forest,Scott McKenna,6.94
Chelsea,Đorđe Petrović,6.94
Aston Villa,Youri Tielemans,6.94
Nottingham Forest,Chris Wood,6.93
Manchester United,Scott McTominay,6.93
West Ham United,Emerson Palmieri,6.93
Chelsea,Reece James,6.93
Luton Town,Tom Lockyer,6.92
Crystal Palace,Tyrick Mitchell,6.92
Arsenal,Fabio Vieira,6.92
Sheffield United,Gustavo Hamer,6.92
Fulham,Issa Diop,6.92
Chelsea,Mykhailo Mudryk,6.91
Burnley,Jordan Beyer,6.91
Luton Town,Thomas Kaminski,6.91
Nottingham Forest,Taiwo Awoniyi,6.91
Manchester United,Raphaël Varane,6.91
Brentford,Nathan Collins,6.91
Everton,Abdoulaye Doucouré,6.91
Burnley,Wilson Odobert,6.9
Nottingham Forest,Anthony Elanga,6.9
Everton,Dominic Calvert-Lewin,6.9
Manchester United,Marcus Rashford,6.9
West Ham United,Edson Álvarez,6.9
Chelsea,Trevoh Chalobah,6.9
Bournemouth,Tyler Adams,6.9
