,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Matches,Club,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Aaron Ramsdale,ENG,GK,24.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Matches,Arsenal ,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,20,6
1,Gabriel Dos Santos,BRA,DF,24.0,38,38,3409.0,37.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,5.1,5.1,0.3,5.3,18.0,153.0,16.0,Matches,Arsenal ,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,2
2,Bukayo Saka,ENG,FW,20.0,38,37,3181.0,35.3,14.0,11.0,25.0,12.0,2.0,3.0,6.0,0.0,11.2,9.1,8.5,17.6,179.0,109.0,520.0,Matches,Arsenal ,63,34,22,15,26,20,44,45.5,24,38,0,38,14,77,19,0
3,Martin Ødegaard,NOR,MF,23.0,37,37,3127.0,34.7,15.0,7.0,22.0,15.0,0.0,0.0,4.0,0.0,10.0,10.0,8.1,18.1,83.0,266.0,193.0,Matches,Arsenal ,36,23,12,14,10,14,47,29.8,33,20,5,15,6,42,12,1
4,Ben White,ENG,DF,24.0,38,36,3055.0,33.9,2.0,5.0,7.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,3.2,4.5,64.0,249.0,124.0,Matches,Arsenal ,60,31,23,30,7,42,70,60.0,28,47,11,36,22,82,79,1
5,Granit Xhaka,SUI,MF,29.0,37,36,2993.0,33.3,7.0,7.0,14.0,7.0,0.0,0.0,4.0,0.0,4.7,4.7,5.2,9.9,42.0,196.0,175.0,Matches,Arsenal ,34,27,11,18,5,16,41,39.0,25,28,10,18,15,49,45,1
6,Martinelli,BRA,FW,21.0,36,34,2789.0,31.0,15.0,5.0,20.0,15.0,0.0,0.0,3.0,0.0,9.3,9.3,9.1,18.4,124.0,94.0,350.0,Matches,Arsenal ,31,18,13,12,6,9,22,40.9,13,24,1,23,9,40,14,0
7,Thomas Partey,GHA,MF,29.0,33,28,2483.0,27.6,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,1.5,3.8,34.0,231.0,35.0,Matches,Arsenal ,70,40,20,35,15,25,52,48.1,27,26,5,21,28,98,41,1
8,William Saliba,FRA,DF,21.0,27,27,2415.0,26.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,1.2,2.1,13.0,99.0,2.0,Matches,Arsenal ,34,20,23,9,2,15,18,83.3,3,13,10,3,19,53,85,4
9,Oleksandr Zinchenko,UKR,DF,25.0,27,26,2118.0,23.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.4,2.8,67.0,227.0,68.0,Matches,Arsenal ,40,18,14,17,9,21,39,53.8,18,20,2,18,22,62,38,2
10,Gabriel Jesus,BRA,FW,25.0,26,24,2064.0,22.9,11.0,6.0,17.0,10.0,1.0,1.0,6.0,0.0,14.0,13.2,3.9,17.1,44.0,64.0,194.0,Matches,Arsenal ,33,25,16,8,9,15,31,48.4,16,27,3,24,11,44,15,1
11,Leandro Trossard,BEL,FW,27.0,20,10,931.0,10.3,1.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,4.7,6.6,36.0,57.0,102.0,Matches,Arsenal ,12,7,4,2,6,6,18,33.3,12,18,0,18,6,18,3,1
12,Eddie Nketiah,ENG,FW,23.0,30,9,1089.0,12.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,8.2,8.2,1.3,9.5,32.0,15.0,82.0,Matches,Arsenal ,13,9,6,2,5,2,8,25.0,6,7,1,6,1,14,7,0
13,Jorginho,ITA,MF,30.0,14,9,855.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,15.0,99.0,8.0,Matches,Arsenal ,18,13,6,10,2,5,24,20.8,19,7,2,5,9,27,8,0
14,Kieran Tierney,SCO,DF,25.0,27,6,795.0,8.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,25.0,36.0,31.0,Matches,Arsenal ,20,11,9,9,2,12,16,75.0,4,8,2,6,11,31,25,0
15,Takehiro Tomiyasu,JPN,DF,23.0,21,6,663.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,14.0,51.0,28.0,Matches,Arsenal ,27,18,12,10,5,13,18,72.2,5,7,0,7,14,41,15,1
16,Rob Holding,ENG,DF,26.0,14,6,566.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,24.0,2.0,Matches,Arsenal ,8,5,4,4,0,3,6,50.0,3,6,5,1,3,11,27,1
17,Jakub Kiwior,POL,DF,22.0,7,5,427.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,6.0,Matches,Arsenal ,7,5,6,1,0,5,8,62.5,3,5,3,2,6,13,10,0
18,Fabio Vieira,POR,"MF,FW",22.0,22,3,514.0,5.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,2.5,3.3,8.0,35.0,40.0,Matches,Arsenal ,6,4,3,0,3,3,5,60.0,2,5,0,5,4,10,2,0
19,Albert Sambi Lokonga,BEL,MF,22.0,6,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,Matches,Arsenal ,1,1,0,0,1,0,2,0.0,2,1,0,1,5,6,2,0
20,Mohamed Elneny,EGY,MF,30.0,5,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,Matches,Arsenal ,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
21,Reiss Nelson,ENG,FW,22.0,11,0,212.0,2.4,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.1,1.1,1.4,2.5,19.0,6.0,34.0,Matches,Arsenal ,4,1,2,1,1,2,4,50.0,2,3,0,3,0,4,4,0
22,Emile Smith Rowe,ENG,"MF,FW",22.0,12,0,172.0,1.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,2.0,7.0,11.0,Matches,Arsenal ,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,2,0
23,Cédric Soares,POR,DF,30.0,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,Matches,Arsenal ,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
24,Ezri Konsa,ENG,DF,24.0,38,37,3322.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3,2.3,7.0,56.0,11.0,Matches,Aston Villa ,42,20,25,15,2,18,26,69.2,8,41,23,18,26,68,120,3
25,Emiliano Martínez,ARG,GK,29.0,36,36,3139.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,Matches,Aston Villa ,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,23,1
26,Ollie Watkins,ENG,FW,26.0,37,36,3127.0,34.7,15.0,6.0,21.0,14.0,1.0,2.0,4.0,0.0,16.5,14.9,3.8,18.7,50.0,39.0,196.0,Matches,Aston Villa ,19,13,3,13,3,10,27,37.0,17,21,4,17,10,29,39,0
